"Notes"	"Age of Mother Year"	"Age of Mother Year Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"35 years"	"35"	"Single"	"1"	"24 weeks"	"24"	108
	"35 years"	"35"	"Single"	"1"	"25 weeks"	"25"	132
	"35 years"	"35"	"Single"	"1"	"26 weeks"	"26"	153
	"35 years"	"35"	"Single"	"1"	"27 weeks"	"27"	179
	"35 years"	"35"	"Single"	"1"	"28 weeks"	"28"	254
	"35 years"	"35"	"Single"	"1"	"29 weeks"	"29"	304
	"35 years"	"35"	"Single"	"1"	"30 weeks"	"30"	399
	"35 years"	"35"	"Single"	"1"	"31 weeks"	"31"	540
	"35 years"	"35"	"Single"	"1"	"32 weeks"	"32"	777
	"35 years"	"35"	"Single"	"1"	"33 weeks"	"33"	1106
	"35 years"	"35"	"Single"	"1"	"34 weeks"	"34"	2222
	"35 years"	"35"	"Single"	"1"	"35 weeks"	"35"	3373
	"35 years"	"35"	"Single"	"1"	"36 weeks"	"36"	6684
	"35 years"	"35"	"Single"	"1"	"37 weeks"	"37"	15965
	"35 years"	"35"	"Single"	"1"	"38 weeks"	"38"	26727
	"35 years"	"35"	"Single"	"1"	"39 weeks"	"39"	53166
	"35 years"	"35"	"Single"	"1"	"40 weeks"	"40"	27666
	"35 years"	"35"	"Single"	"1"	"41 weeks"	"41"	10696
	"35 years"	"35"	"Single"	"1"	"42 weeks"	"42"	3096
	"35 years"	"35"	"Single"	"1"	"43 weeks"	"43"	1492
	"35 years"	"35"	"Single"	"1"	"44 weeks"	"44"	770
	"35 years"	"35"	"Single"	"1"	"45 weeks"	"45"	420
	"35 years"	"35"	"Single"	"1"	"46 weeks"	"46"	249
	"35 years"	"35"	"Single"	"1"	"47 weeks"	"47"	201
	"35 years"	"35"	"Single"	"1"	"Unknown or Not Stated"	"99"	90
	"35 years"	"35"	"Twin"	"2"	"17 weeks"	"17"	3
	"35 years"	"35"	"Twin"	"2"	"18 weeks"	"18"	3
	"35 years"	"35"	"Twin"	"2"	"19 weeks"	"19"	9
	"35 years"	"35"	"Twin"	"2"	"20 weeks"	"20"	6
	"35 years"	"35"	"Twin"	"2"	"21 weeks"	"21"	19
	"35 years"	"35"	"Twin"	"2"	"22 weeks"	"22"	12
	"35 years"	"35"	"Twin"	"2"	"23 weeks"	"23"	10
	"35 years"	"35"	"Twin"	"2"	"24 weeks"	"24"	30
	"35 years"	"35"	"Twin"	"2"	"25 weeks"	"25"	25
	"35 years"	"35"	"Twin"	"2"	"26 weeks"	"26"	35
	"35 years"	"35"	"Twin"	"2"	"27 weeks"	"27"	65
	"35 years"	"35"	"Twin"	"2"	"28 weeks"	"28"	73
	"35 years"	"35"	"Twin"	"2"	"29 weeks"	"29"	96
	"35 years"	"35"	"Twin"	"2"	"30 weeks"	"30"	114
	"35 years"	"35"	"Twin"	"2"	"31 weeks"	"31"	121
	"35 years"	"35"	"Twin"	"2"	"32 weeks"	"32"	178
	"35 years"	"35"	"Twin"	"2"	"33 weeks"	"33"	315
	"35 years"	"35"	"Twin"	"2"	"34 weeks"	"34"	483
	"35 years"	"35"	"Twin"	"2"	"35 weeks"	"35"	633
	"35 years"	"35"	"Twin"	"2"	"36 weeks"	"36"	1076
	"35 years"	"35"	"Twin"	"2"	"37 weeks"	"37"	1336
	"35 years"	"35"	"Twin"	"2"	"38 weeks"	"38"	955
	"35 years"	"35"	"Twin"	"2"	"39 weeks"	"39"	210
	"35 years"	"35"	"Twin"	"2"	"40 weeks"	"40"	106
	"35 years"	"35"	"Twin"	"2"	"41 weeks"	"41"	73
	"35 years"	"35"	"Twin"	"2"	"42 weeks"	"42"	54
	"35 years"	"35"	"Twin"	"2"	"43 weeks"	"43"	38
	"35 years"	"35"	"Twin"	"2"	"44 weeks"	"44"	11
	"35 years"	"35"	"Twin"	"2"	"45 weeks"	"45"	14
	"35 years"	"35"	"Twin"	"2"	"46 weeks"	"46"	12
	"35 years"	"35"	"Twin"	"2"	"47 weeks"	"47"	4
	"35 years"	"35"	"Twin"	"2"	"Unknown or Not Stated"	"99"	4
	"35 years"	"35"	"Triplet"	"3"	"20 weeks"	"20"	3
	"35 years"	"35"	"Triplet"	"3"	"21 weeks"	"21"	3
	"35 years"	"35"	"Triplet"	"3"	"25 weeks"	"25"	6
	"35 years"	"35"	"Triplet"	"3"	"27 weeks"	"27"	3
	"35 years"	"35"	"Triplet"	"3"	"29 weeks"	"29"	12
	"35 years"	"35"	"Triplet"	"3"	"30 weeks"	"30"	5
	"35 years"	"35"	"Triplet"	"3"	"31 weeks"	"31"	16
	"35 years"	"35"	"Triplet"	"3"	"32 weeks"	"32"	33
	"35 years"	"35"	"Triplet"	"3"	"33 weeks"	"33"	20
	"35 years"	"35"	"Triplet"	"3"	"34 weeks"	"34"	24
	"35 years"	"35"	"Triplet"	"3"	"35 weeks"	"35"	25
	"35 years"	"35"	"Triplet"	"3"	"36 weeks"	"36"	6
	"35 years"	"35"	"Triplet"	"3"	"37 weeks"	"37"	1
	"35 years"	"35"	"Triplet"	"3"	"38 weeks"	"38"	5
	"35 years"	"35"	"Triplet"	"3"	"41 weeks"	"41"	1
	"35 years"	"35"	"Triplet"	"3"	"46 weeks"	"46"	3
	"35 years"	"35"	"Quadruplet"	"4"	"27 weeks"	"27"	5
	"35 years"	"35"	"Quadruplet"	"4"	"28 weeks"	"28"	8
	"35 years"	"35"	"Quadruplet"	"4"	"32 weeks"	"32"	5
	"36 years"	"36"	"Single"	"1"	"17 weeks"	"17"	5
	"36 years"	"36"	"Single"	"1"	"18 weeks"	"18"	15
	"36 years"	"36"	"Single"	"1"	"19 weeks"	"19"	15
	"36 years"	"36"	"Single"	"1"	"20 weeks"	"20"	25
	"36 years"	"36"	"Single"	"1"	"21 weeks"	"21"	31
	"36 years"	"36"	"Single"	"1"	"22 weeks"	"22"	46
	"36 years"	"36"	"Single"	"1"	"23 weeks"	"23"	90
	"36 years"	"36"	"Single"	"1"	"24 weeks"	"24"	112
	"36 years"	"36"	"Single"	"1"	"25 weeks"	"25"	122
	"36 years"	"36"	"Single"	"1"	"26 weeks"	"26"	132
	"36 years"	"36"	"Single"	"1"	"27 weeks"	"27"	145
	"36 years"	"36"	"Single"	"1"	"28 weeks"	"28"	203
	"36 years"	"36"	"Single"	"1"	"29 weeks"	"29"	245
	"36 years"	"36"	"Single"	"1"	"30 weeks"	"30"	363
	"36 years"	"36"	"Single"	"1"	"31 weeks"	"31"	463
	"36 years"	"36"	"Single"	"1"	"32 weeks"	"32"	676
	"36 years"	"36"	"Single"	"1"	"33 weeks"	"33"	1080
	"36 years"	"36"	"Single"	"1"	"34 weeks"	"34"	1984
	"36 years"	"36"	"Single"	"1"	"35 weeks"	"35"	2828
	"36 years"	"36"	"Single"	"1"	"36 weeks"	"36"	5699
	"36 years"	"36"	"Single"	"1"	"37 weeks"	"37"	13573
	"36 years"	"36"	"Single"	"1"	"38 weeks"	"38"	22430
	"36 years"	"36"	"Single"	"1"	"39 weeks"	"39"	44047
	"36 years"	"36"	"Single"	"1"	"40 weeks"	"40"	22253
	"36 years"	"36"	"Single"	"1"	"41 weeks"	"41"	8343
	"36 years"	"36"	"Single"	"1"	"42 weeks"	"42"	2559
	"36 years"	"36"	"Single"	"1"	"43 weeks"	"43"	1179
	"36 years"	"36"	"Single"	"1"	"44 weeks"	"44"	623
	"36 years"	"36"	"Single"	"1"	"45 weeks"	"45"	346
	"36 years"	"36"	"Single"	"1"	"46 weeks"	"46"	213
	"36 years"	"36"	"Single"	"1"	"47 weeks"	"47"	169
	"36 years"	"36"	"Single"	"1"	"Unknown or Not Stated"	"99"	76
	"36 years"	"36"	"Twin"	"2"	"17 weeks"	"17"	1
	"36 years"	"36"	"Twin"	"2"	"18 weeks"	"18"	2
	"36 years"	"36"	"Twin"	"2"	"19 weeks"	"19"	1
	"36 years"	"36"	"Twin"	"2"	"20 weeks"	"20"	13
	"36 years"	"36"	"Twin"	"2"	"21 weeks"	"21"	8
	"36 years"	"36"	"Twin"	"2"	"22 weeks"	"22"	19
	"36 years"	"36"	"Twin"	"2"	"23 weeks"	"23"	19
	"36 years"	"36"	"Twin"	"2"	"24 weeks"	"24"	25
	"36 years"	"36"	"Twin"	"2"	"25 weeks"	"25"	18
	"36 years"	"36"	"Twin"	"2"	"26 weeks"	"26"	36
	"36 years"	"36"	"Twin"	"2"	"27 weeks"	"27"	38
	"36 years"	"36"	"Twin"	"2"	"28 weeks"	"28"	49
	"36 years"	"36"	"Twin"	"2"	"29 weeks"	"29"	44
	"36 years"	"36"	"Twin"	"2"	"30 weeks"	"30"	91
	"36 years"	"36"	"Twin"	"2"	"31 weeks"	"31"	110
	"36 years"	"36"	"Twin"	"2"	"32 weeks"	"32"	175
	"36 years"	"36"	"Twin"	"2"	"33 weeks"	"33"	229
	"36 years"	"36"	"Twin"	"2"	"34 weeks"	"34"	457
	"36 years"	"36"	"Twin"	"2"	"35 weeks"	"35"	469
	"36 years"	"36"	"Twin"	"2"	"36 weeks"	"36"	883
	"36 years"	"36"	"Twin"	"2"	"37 weeks"	"37"	1155
	"36 years"	"36"	"Twin"	"2"	"38 weeks"	"38"	808
	"36 years"	"36"	"Twin"	"2"	"39 weeks"	"39"	208
	"36 years"	"36"	"Twin"	"2"	"40 weeks"	"40"	103
	"36 years"	"36"	"Twin"	"2"	"41 weeks"	"41"	39
	"36 years"	"36"	"Twin"	"2"	"42 weeks"	"42"	27
	"36 years"	"36"	"Twin"	"2"	"43 weeks"	"43"	13
	"36 years"	"36"	"Twin"	"2"	"44 weeks"	"44"	16
	"36 years"	"36"	"Twin"	"2"	"45 weeks"	"45"	8
	"36 years"	"36"	"Twin"	"2"	"46 weeks"	"46"	8
	"36 years"	"36"	"Twin"	"2"	"47 weeks"	"47"	7
	"36 years"	"36"	"Twin"	"2"	"Unknown or Not Stated"	"99"	2
	"36 years"	"36"	"Triplet"	"3"	"17 weeks"	"17"	2
	"36 years"	"36"	"Triplet"	"3"	"24 weeks"	"24"	3
	"36 years"	"36"	"Triplet"	"3"	"25 weeks"	"25"	4
	"36 years"	"36"	"Triplet"	"3"	"27 weeks"	"27"	2
	"36 years"	"36"	"Triplet"	"3"	"30 weeks"	"30"	12
	"36 years"	"36"	"Triplet"	"3"	"31 weeks"	"31"	21
	"36 years"	"36"	"Triplet"	"3"	"32 weeks"	"32"	18
	"36 years"	"36"	"Triplet"	"3"	"33 weeks"	"33"	16
	"36 years"	"36"	"Triplet"	"3"	"34 weeks"	"34"	33
	"36 years"	"36"	"Triplet"	"3"	"35 weeks"	"35"	14
	"36 years"	"36"	"Triplet"	"3"	"36 weeks"	"36"	11
	"36 years"	"36"	"Triplet"	"3"	"37 weeks"	"37"	8
	"36 years"	"36"	"Triplet"	"3"	"39 weeks"	"39"	2
	"36 years"	"36"	"Triplet"	"3"	"40 weeks"	"40"	3
	"36 years"	"36"	"Triplet"	"3"	"43 weeks"	"43"	4
	"36 years"	"36"	"Quadruplet"	"4"	"25 weeks"	"25"	3
	"37 years"	"37"	"Single"	"1"	"17 weeks"	"17"	6
	"37 years"	"37"	"Single"	"1"	"18 weeks"	"18"	13
	"37 years"	"37"	"Single"	"1"	"19 weeks"	"19"	15
	"37 years"	"37"	"Single"	"1"	"20 weeks"	"20"	17
	"37 years"	"37"	"Single"	"1"	"21 weeks"	"21"	30
	"37 years"	"37"	"Single"	"1"	"22 weeks"	"22"	45
	"37 years"	"37"	"Single"	"1"	"23 weeks"	"23"	51
	"37 years"	"37"	"Single"	"1"	"24 weeks"	"24"	103
	"37 years"	"37"	"Single"	"1"	"25 weeks"	"25"	108
	"37 years"	"37"	"Single"	"1"	"26 weeks"	"26"	104
	"37 years"	"37"	"Single"	"1"	"27 weeks"	"27"	129
	"37 years"	"37"	"Single"	"1"	"28 weeks"	"28"	197
	"37 years"	"37"	"Single"	"1"	"29 weeks"	"29"	243
	"37 years"	"37"	"Single"	"1"	"30 weeks"	"30"	320
	"37 years"	"37"	"Single"	"1"	"31 weeks"	"31"	390
	"37 years"	"37"	"Single"	"1"	"32 weeks"	"32"	572
	"37 years"	"37"	"Single"	"1"	"33 weeks"	"33"	842
	"37 years"	"37"	"Single"	"1"	"34 weeks"	"34"	1642
	"37 years"	"37"	"Single"	"1"	"35 weeks"	"35"	2528
	"37 years"	"37"	"Single"	"1"	"36 weeks"	"36"	4954
	"37 years"	"37"	"Single"	"1"	"37 weeks"	"37"	11932
	"37 years"	"37"	"Single"	"1"	"38 weeks"	"38"	19007
	"37 years"	"37"	"Single"	"1"	"39 weeks"	"39"	35688
	"37 years"	"37"	"Single"	"1"	"40 weeks"	"40"	17413
	"37 years"	"37"	"Single"	"1"	"41 weeks"	"41"	6476
	"37 years"	"37"	"Single"	"1"	"42 weeks"	"42"	2095
	"37 years"	"37"	"Single"	"1"	"43 weeks"	"43"	986
	"37 years"	"37"	"Single"	"1"	"44 weeks"	"44"	510
	"37 years"	"37"	"Single"	"1"	"45 weeks"	"45"	256
	"37 years"	"37"	"Single"	"1"	"46 weeks"	"46"	177
	"37 years"	"37"	"Single"	"1"	"47 weeks"	"47"	130
	"37 years"	"37"	"Single"	"1"	"Unknown or Not Stated"	"99"	73
	"37 years"	"37"	"Twin"	"2"	"18 weeks"	"18"	2
	"37 years"	"37"	"Twin"	"2"	"19 weeks"	"19"	2
	"37 years"	"37"	"Twin"	"2"	"20 weeks"	"20"	7
	"37 years"	"37"	"Twin"	"2"	"21 weeks"	"21"	5
	"37 years"	"37"	"Twin"	"2"	"22 weeks"	"22"	15
	"37 years"	"37"	"Twin"	"2"	"23 weeks"	"23"	15
	"37 years"	"37"	"Twin"	"2"	"24 weeks"	"24"	13
	"37 years"	"37"	"Twin"	"2"	"25 weeks"	"25"	20
	"37 years"	"37"	"Twin"	"2"	"26 weeks"	"26"	36
	"37 years"	"37"	"Twin"	"2"	"27 weeks"	"27"	31
	"37 years"	"37"	"Twin"	"2"	"28 weeks"	"28"	51
	"37 years"	"37"	"Twin"	"2"	"29 weeks"	"29"	47
	"37 years"	"37"	"Twin"	"2"	"30 weeks"	"30"	69
	"37 years"	"37"	"Twin"	"2"	"31 weeks"	"31"	71
	"37 years"	"37"	"Twin"	"2"	"32 weeks"	"32"	178
	"37 years"	"37"	"Twin"	"2"	"33 weeks"	"33"	193
	"37 years"	"37"	"Twin"	"2"	"34 weeks"	"34"	369
	"37 years"	"37"	"Twin"	"2"	"35 weeks"	"35"	474
	"37 years"	"37"	"Twin"	"2"	"36 weeks"	"36"	794
	"37 years"	"37"	"Twin"	"2"	"37 weeks"	"37"	908
	"37 years"	"37"	"Twin"	"2"	"38 weeks"	"38"	675
	"37 years"	"37"	"Twin"	"2"	"39 weeks"	"39"	152
	"37 years"	"37"	"Twin"	"2"	"40 weeks"	"40"	69
	"37 years"	"37"	"Twin"	"2"	"41 weeks"	"41"	51
	"37 years"	"37"	"Twin"	"2"	"42 weeks"	"42"	29
	"37 years"	"37"	"Twin"	"2"	"43 weeks"	"43"	24
	"37 years"	"37"	"Twin"	"2"	"44 weeks"	"44"	8
	"37 years"	"37"	"Twin"	"2"	"45 weeks"	"45"	4
	"37 years"	"37"	"Twin"	"2"	"46 weeks"	"46"	2
	"37 years"	"37"	"Twin"	"2"	"Unknown or Not Stated"	"99"	1
	"37 years"	"37"	"Triplet"	"3"	"27 weeks"	"27"	6
	"37 years"	"37"	"Triplet"	"3"	"28 weeks"	"28"	5
	"37 years"	"37"	"Triplet"	"3"	"29 weeks"	"29"	3
	"37 years"	"37"	"Triplet"	"3"	"30 weeks"	"30"	6
	"37 years"	"37"	"Triplet"	"3"	"31 weeks"	"31"	9
	"37 years"	"37"	"Triplet"	"3"	"32 weeks"	"32"	3
	"37 years"	"37"	"Triplet"	"3"	"33 weeks"	"33"	8
	"37 years"	"37"	"Triplet"	"3"	"34 weeks"	"34"	18
	"37 years"	"37"	"Triplet"	"3"	"35 weeks"	"35"	6
	"37 years"	"37"	"Triplet"	"3"	"36 weeks"	"36"	12
	"37 years"	"37"	"Triplet"	"3"	"37 weeks"	"37"	6
	"37 years"	"37"	"Triplet"	"3"	"38 weeks"	"38"	2
	"37 years"	"37"	"Quadruplet"	"4"	"38 weeks"	"38"	1
	"38 years"	"38"	"Single"	"1"	"17 weeks"	"17"	5
	"38 years"	"38"	"Single"	"1"	"18 weeks"	"18"	7
	"38 years"	"38"	"Single"	"1"	"19 weeks"	"19"	9
	"38 years"	"38"	"Single"	"1"	"20 weeks"	"20"	18
	"38 years"	"38"	"Single"	"1"	"21 weeks"	"21"	24
	"38 years"	"38"	"Single"	"1"	"22 weeks"	"22"	29
	"38 years"	"38"	"Single"	"1"	"23 weeks"	"23"	57
	"38 years"	"38"	"Single"	"1"	"24 weeks"	"24"	60
	"38 years"	"38"	"Single"	"1"	"25 weeks"	"25"	83
	"38 years"	"38"	"Single"	"1"	"26 weeks"	"26"	124
	"38 years"	"38"	"Single"	"1"	"27 weeks"	"27"	121
	"38 years"	"38"	"Single"	"1"	"28 weeks"	"28"	166
	"38 years"	"38"	"Single"	"1"	"29 weeks"	"29"	190
	"38 years"	"38"	"Single"	"1"	"30 weeks"	"30"	269
	"38 years"	"38"	"Single"	"1"	"31 weeks"	"31"	357
	"38 years"	"38"	"Single"	"1"	"32 weeks"	"32"	482
	"38 years"	"38"	"Single"	"1"	"33 weeks"	"33"	754
	"38 years"	"38"	"Single"	"1"	"34 weeks"	"34"	1458
	"38 years"	"38"	"Single"	"1"	"35 weeks"	"35"	2148
	"38 years"	"38"	"Single"	"1"	"36 weeks"	"36"	4088
	"38 years"	"38"	"Single"	"1"	"37 weeks"	"37"	9535
	"38 years"	"38"	"Single"	"1"	"38 weeks"	"38"	14969
	"38 years"	"38"	"Single"	"1"	"39 weeks"	"39"	27666
	"38 years"	"38"	"Single"	"1"	"40 weeks"	"40"	13005
	"38 years"	"38"	"Single"	"1"	"41 weeks"	"41"	4887
	"38 years"	"38"	"Single"	"1"	"42 weeks"	"42"	1511
	"38 years"	"38"	"Single"	"1"	"43 weeks"	"43"	749
	"38 years"	"38"	"Single"	"1"	"44 weeks"	"44"	391
	"38 years"	"38"	"Single"	"1"	"45 weeks"	"45"	197
	"38 years"	"38"	"Single"	"1"	"46 weeks"	"46"	109
	"38 years"	"38"	"Single"	"1"	"47 weeks"	"47"	97
	"38 years"	"38"	"Single"	"1"	"Unknown or Not Stated"	"99"	66
	"38 years"	"38"	"Twin"	"2"	"17 weeks"	"17"	1
	"38 years"	"38"	"Twin"	"2"	"18 weeks"	"18"	1
	"38 years"	"38"	"Twin"	"2"	"19 weeks"	"19"	1
	"38 years"	"38"	"Twin"	"2"	"20 weeks"	"20"	1
	"38 years"	"38"	"Twin"	"2"	"21 weeks"	"21"	6
	"38 years"	"38"	"Twin"	"2"	"22 weeks"	"22"	4
	"38 years"	"38"	"Twin"	"2"	"23 weeks"	"23"	12
	"38 years"	"38"	"Twin"	"2"	"24 weeks"	"24"	14
	"38 years"	"38"	"Twin"	"2"	"25 weeks"	"25"	28
	"38 years"	"38"	"Twin"	"2"	"26 weeks"	"26"	18
	"38 years"	"38"	"Twin"	"2"	"27 weeks"	"27"	27
	"38 years"	"38"	"Twin"	"2"	"28 weeks"	"28"	23
	"38 years"	"38"	"Twin"	"2"	"29 weeks"	"29"	52
	"38 years"	"38"	"Twin"	"2"	"30 weeks"	"30"	56
	"38 years"	"38"	"Twin"	"2"	"31 weeks"	"31"	50
	"38 years"	"38"	"Twin"	"2"	"32 weeks"	"32"	130
	"38 years"	"38"	"Twin"	"2"	"33 weeks"	"33"	162
	"38 years"	"38"	"Twin"	"2"	"34 weeks"	"34"	271
	"38 years"	"38"	"Twin"	"2"	"35 weeks"	"35"	326
	"38 years"	"38"	"Twin"	"2"	"36 weeks"	"36"	598
	"38 years"	"38"	"Twin"	"2"	"37 weeks"	"37"	757
	"38 years"	"38"	"Twin"	"2"	"38 weeks"	"38"	508
	"38 years"	"38"	"Twin"	"2"	"39 weeks"	"39"	125
	"38 years"	"38"	"Twin"	"2"	"40 weeks"	"40"	59
	"38 years"	"38"	"Twin"	"2"	"41 weeks"	"41"	36
	"38 years"	"38"	"Twin"	"2"	"42 weeks"	"42"	9
	"38 years"	"38"	"Twin"	"2"	"43 weeks"	"43"	12
	"38 years"	"38"	"Twin"	"2"	"44 weeks"	"44"	4
	"38 years"	"38"	"Twin"	"2"	"45 weeks"	"45"	2
	"38 years"	"38"	"Twin"	"2"	"46 weeks"	"46"	1
	"38 years"	"38"	"Twin"	"2"	"47 weeks"	"47"	6
	"38 years"	"38"	"Triplet"	"3"	"18 weeks"	"18"	1
	"38 years"	"38"	"Triplet"	"3"	"24 weeks"	"24"	4
	"38 years"	"38"	"Triplet"	"3"	"27 weeks"	"27"	4
	"38 years"	"38"	"Triplet"	"3"	"28 weeks"	"28"	5
	"38 years"	"38"	"Triplet"	"3"	"31 weeks"	"31"	6
	"38 years"	"38"	"Triplet"	"3"	"32 weeks"	"32"	4
	"38 years"	"38"	"Triplet"	"3"	"33 weeks"	"33"	6
	"38 years"	"38"	"Triplet"	"3"	"34 weeks"	"34"	22
	"38 years"	"38"	"Triplet"	"3"	"35 weeks"	"35"	12
	"38 years"	"38"	"Triplet"	"3"	"38 weeks"	"38"	3
	"38 years"	"38"	"Triplet"	"3"	"39 weeks"	"39"	1
	"39 years"	"39"	"Single"	"1"	"17 weeks"	"17"	3
	"39 years"	"39"	"Single"	"1"	"18 weeks"	"18"	6
	"39 years"	"39"	"Single"	"1"	"19 weeks"	"19"	8
	"39 years"	"39"	"Single"	"1"	"20 weeks"	"20"	16
	"39 years"	"39"	"Single"	"1"	"21 weeks"	"21"	19
	"39 years"	"39"	"Single"	"1"	"22 weeks"	"22"	30
	"39 years"	"39"	"Single"	"1"	"23 weeks"	"23"	44
	"39 years"	"39"	"Single"	"1"	"24 weeks"	"24"	70
	"39 years"	"39"	"Single"	"1"	"25 weeks"	"25"	69
	"39 years"	"39"	"Single"	"1"	"26 weeks"	"26"	90
	"39 years"	"39"	"Single"	"1"	"27 weeks"	"27"	94
	"39 years"	"39"	"Single"	"1"	"28 weeks"	"28"	131
	"39 years"	"39"	"Single"	"1"	"29 weeks"	"29"	156
	"39 years"	"39"	"Single"	"1"	"30 weeks"	"30"	217
	"39 years"	"39"	"Single"	"1"	"31 weeks"	"31"	285
	"39 years"	"39"	"Single"	"1"	"32 weeks"	"32"	398
	"39 years"	"39"	"Single"	"1"	"33 weeks"	"33"	631
	"39 years"	"39"	"Single"	"1"	"34 weeks"	"34"	1119
	"39 years"	"39"	"Single"	"1"	"35 weeks"	"35"	1695
	"39 years"	"39"	"Single"	"1"	"36 weeks"	"36"	3293
	"39 years"	"39"	"Single"	"1"	"37 weeks"	"37"	7593
	"39 years"	"39"	"Single"	"1"	"38 weeks"	"38"	11776
	"39 years"	"39"	"Single"	"1"	"39 weeks"	"39"	21393
	"39 years"	"39"	"Single"	"1"	"40 weeks"	"40"	9438
	"39 years"	"39"	"Single"	"1"	"41 weeks"	"41"	3434
	"39 years"	"39"	"Single"	"1"	"42 weeks"	"42"	1139
	"39 years"	"39"	"Single"	"1"	"43 weeks"	"43"	547
	"39 years"	"39"	"Single"	"1"	"44 weeks"	"44"	294
	"39 years"	"39"	"Single"	"1"	"45 weeks"	"45"	151
	"39 years"	"39"	"Single"	"1"	"46 weeks"	"46"	86
	"39 years"	"39"	"Single"	"1"	"47 weeks"	"47"	94
	"39 years"	"39"	"Single"	"1"	"Unknown or Not Stated"	"99"	40
	"39 years"	"39"	"Twin"	"2"	"19 weeks"	"19"	1
	"39 years"	"39"	"Twin"	"2"	"20 weeks"	"20"	2
	"39 years"	"39"	"Twin"	"2"	"21 weeks"	"21"	9
	"39 years"	"39"	"Twin"	"2"	"22 weeks"	"22"	4
	"39 years"	"39"	"Twin"	"2"	"23 weeks"	"23"	11
	"39 years"	"39"	"Twin"	"2"	"24 weeks"	"24"	7
	"39 years"	"39"	"Twin"	"2"	"25 weeks"	"25"	13
	"39 years"	"39"	"Twin"	"2"	"26 weeks"	"26"	19
	"39 years"	"39"	"Twin"	"2"	"27 weeks"	"27"	21
	"39 years"	"39"	"Twin"	"2"	"28 weeks"	"28"	29
	"39 years"	"39"	"Twin"	"2"	"29 weeks"	"29"	35
	"39 years"	"39"	"Twin"	"2"	"30 weeks"	"30"	38
	"39 years"	"39"	"Twin"	"2"	"31 weeks"	"31"	51
	"39 years"	"39"	"Twin"	"2"	"32 weeks"	"32"	113
	"39 years"	"39"	"Twin"	"2"	"33 weeks"	"33"	129
	"39 years"	"39"	"Twin"	"2"	"34 weeks"	"34"	231
	"39 years"	"39"	"Twin"	"2"	"35 weeks"	"35"	273
	"39 years"	"39"	"Twin"	"2"	"36 weeks"	"36"	468
	"39 years"	"39"	"Twin"	"2"	"37 weeks"	"37"	535
	"39 years"	"39"	"Twin"	"2"	"38 weeks"	"38"	330
	"39 years"	"39"	"Twin"	"2"	"39 weeks"	"39"	79
	"39 years"	"39"	"Twin"	"2"	"40 weeks"	"40"	62
	"39 years"	"39"	"Twin"	"2"	"41 weeks"	"41"	36
	"39 years"	"39"	"Twin"	"2"	"42 weeks"	"42"	20
	"39 years"	"39"	"Twin"	"2"	"43 weeks"	"43"	9
	"39 years"	"39"	"Twin"	"2"	"44 weeks"	"44"	4
	"39 years"	"39"	"Twin"	"2"	"45 weeks"	"45"	2
	"39 years"	"39"	"Twin"	"2"	"46 weeks"	"46"	4
	"39 years"	"39"	"Twin"	"2"	"47 weeks"	"47"	9
	"39 years"	"39"	"Twin"	"2"	"Unknown or Not Stated"	"99"	2
	"39 years"	"39"	"Triplet"	"3"	"26 weeks"	"26"	6
	"39 years"	"39"	"Triplet"	"3"	"30 weeks"	"30"	6
	"39 years"	"39"	"Triplet"	"3"	"31 weeks"	"31"	6
	"39 years"	"39"	"Triplet"	"3"	"32 weeks"	"32"	12
	"39 years"	"39"	"Triplet"	"3"	"33 weeks"	"33"	12
	"39 years"	"39"	"Triplet"	"3"	"34 weeks"	"34"	17
	"39 years"	"39"	"Triplet"	"3"	"35 weeks"	"35"	12
	"39 years"	"39"	"Triplet"	"3"	"36 weeks"	"36"	3
	"39 years"	"39"	"Triplet"	"3"	"40 weeks"	"40"	3
	"40 years"	"40"	"Single"	"1"	"17 weeks"	"17"	4
	"40 years"	"40"	"Single"	"1"	"18 weeks"	"18"	6
	"40 years"	"40"	"Single"	"1"	"19 weeks"	"19"	9
	"40 years"	"40"	"Single"	"1"	"20 weeks"	"20"	11
	"40 years"	"40"	"Single"	"1"	"21 weeks"	"21"	9
	"40 years"	"40"	"Single"	"1"	"22 weeks"	"22"	15
	"40 years"	"40"	"Single"	"1"	"23 weeks"	"23"	34
	"40 years"	"40"	"Single"	"1"	"24 weeks"	"24"	54
	"40 years"	"40"	"Single"	"1"	"25 weeks"	"25"	61
	"40 years"	"40"	"Single"	"1"	"26 weeks"	"26"	63
	"40 years"	"40"	"Single"	"1"	"27 weeks"	"27"	82
	"40 years"	"40"	"Single"	"1"	"28 weeks"	"28"	94
	"40 years"	"40"	"Single"	"1"	"29 weeks"	"29"	122
	"40 years"	"40"	"Single"	"1"	"30 weeks"	"30"	164
	"40 years"	"40"	"Single"	"1"	"31 weeks"	"31"	203
	"40 years"	"40"	"Single"	"1"	"32 weeks"	"32"	323
	"40 years"	"40"	"Single"	"1"	"33 weeks"	"33"	523
	"40 years"	"40"	"Single"	"1"	"34 weeks"	"34"	885
	"40 years"	"40"	"Single"	"1"	"35 weeks"	"35"	1263
	"40 years"	"40"	"Single"	"1"	"36 weeks"	"36"	2533
	"40 years"	"40"	"Single"	"1"	"37 weeks"	"37"	5829
